turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
sitges|Sitges|SPAIN (ES)|NULL|NULL|STS|Sitges|BCN|41.237185|1.805886
antigua-guatemala|Antigua Guatemala|GUATEMALA (GT)|NULL|NULL|TKM|Antigua Guatemala|GUA|14.566667|-90.733333
trinidad|Trinidad|CUBA (CU)|NULL|NULL|TND|Trinidad |TND|21.804167|-79.983056
sucre|Sucre|BOLIVIA (BO)|NULL|NULL|US7|Sucre|SRE|-19.05|-65.25
valparaiso|Valparaíso|CHILE (CL)|-33.0472|-71.6126|VAP|Valparaiso|SCL|-33.05|-71.616667
santa-clara-25442|Santa Clara|CUBA (CU)|NULL|NULL|VCL|Santa Clara|SNU|22.39393236584345|-79.97221470228398
pontevedra|Pontevedra|SPAIN (ES)|42.4298|-8.6446|VGO|Pontevedra|VGO|42.433333|-8.633333
santa-cruz-de-la-sierra|Santa Cruz de la Sierra|BOLIVIA (BO)|NULL|NULL|VVI|Santa Cruz de la Sierra|VVI|-17.8|-63.18
ancud|Ancud|CHILE (CL)|NULL|NULL|ZUD|Ancud|PMC|-41.8675003|-73.8276965
potosi|Potosí|BOLIVIA (BO)|NULL|NULL|CAS1|Potosi|POI|-19.579846540004144|-65.75729370117189
paipa|Paipa|COLOMBIA (CO)|NULL|NULL|CAS3|Paipa|BOG|5.780649599211813|-73.1177043914795
la-paloma|La Paloma|URUGUAY (UY)|NULL|NULL|PDP3|La Paloma|MDO|-34.652132475112666|-54.17804718017579
chiriqui|Chiriquí|PANAMA (PA)|NULL|NULL|dav3|Chiriquí|DAV|8.35282301503959|-82.27111816406251
calvillo|Calvillo|MEXICO (MX)|NULL|NULL|AGU-2|Calvillo|AGU|21.8468345|-102.71864540000001
altea|Altea|SPAIN (ES)|NULL|NULL|ALC13|Altea|ALC|38.6029075|-0.045066600000041035
salento|Salento|COLOMBIA (CO)|NULL|NULL|AXM-3|Salento |AXM|4.638536641585489|-75.56911468505861
urubamba|Urubamba|PERU (PE)|-13.3061|-72.116|AYP-1|Urubamba|CUZ|-13.304167|-72.116667
el-fuerte|El Fuerte|MEXICO (MX)|NULL|NULL|BDC-5|El fuerte|LMM|26.417632|-108.61459379999997
todos-santos|Todos Santos|MEXICO (MX)|NULL|NULL|CAB-1|Todos Santos|SJD|23.4463619|-110.22651009999998
ciudad-del-carmen|Ciudad del Carmen|MEXICO (MX)|NULL|NULL|CAM-2|Ciudad del Carmen|CME|18.6504879|-91.80745860000002
champoton|Champotón|MEXICO (MX)|NULL|NULL|CAM-4|Champoton|CPE|19.37204517690727|-90.68389892578126
calakmul|Calakmul|MEXICO (MX)|NULL|NULL|CAM-5|Calakmul|FRS|18.0383007|-89.6738919
bacalar|Bacalar|MEXICO (MX)|NULL|NULL|-CHE2,00|Bacalar|CTM|18.6782919|-88.39239459999999
mahahual|Mahahual|MEXICO (MX)|NULL|NULL|-CHE3,00|Mahahual|CTM|18.7138888|-87.7094444
san-cristobal-de-las-casas|San Cristóbal de las Casas|MEXICO (MX)|NULL|NULL|CSDC-1|San Cristóbal de las Casas|TGZ|16.73315278979473|-92.63913931368702
cordoba|Córdoba|MEXICO (MX)|NULL|NULL|COR-1|Córdoba |VER|18.8838909|-96.9237751
manzanares|Manzanares|COLOMBIA (CO)|NULL|NULL|CRE30|Manzanares|MAD|39.004284|-3.371644
chitre|Chitré|PANAMA (PA)|NULL|NULL|CTD-3|Chitre|PAC|7.962337459144956|-80.42404174804689
tecate|Tecate|MEXICO (MX)|NULL|NULL|ETC-1|Tecate|TIJ|32.5685837|-116.6346969
abasolo|Abasolo|MEXICO (MX)|NULL|NULL|FAKE1|Abasolo|BJX|20.452319|-101.52650169999998
san-juan-de-los-lagos|San Juan de los Lagos|MEXICO (MX)|NULL|NULL|GUA-4|San Juan De Los Lagos|GDL|21.2474689|-102.33169989999999
tequila|Tequila|MEXICO (MX)|NULL|NULL|GUA-5|Tequila|GDL|20.882778|-103.836667
chapala|Chapala|MEXICO (MX)|NULL|NULL|GUA-6|Chapala|GDL|20.3051576|-103.18460160000001
apaseo-el-grande|Apaseo el Grande|MEXICO (MX)|NULL|NULL|GUO-1|Apaseo el Grande|QRO|20.5446948|-100.6844284
irapuato|Irapuato|MEXICO (MX)|NULL|NULL|GUO-2|Irapuato|BJX|20.6786652|-101.35449640000002
chichicastenango|Chichicastenango|GUATEMALA (GT)|NULL|NULL|HIC-3|Chichicastenango|GUA|14.930189148183592|-91.11373901367189
hidalgo-del-parral|Hidalgo del Parral|MEXICO (MX)|NULL|NULL|HID-1|Hidalgo Del Parral|CUU|26.9317835|-105.6666166
talca|Talca|CHILE (CL)|NULL|NULL|ICA10|Talca|CCP|-35.42906429359501|-71.66004180908205
zihuatanejo|Zihuatanejo|MEXICO (MX)|NULL|NULL|IXT-1|Zihuatanejo|ZIH|17.6416693|-101.5516955
ubeda|Úbeda|SPAIN (ES)|NULL|NULL|UBE-E|Úbeda|ODB|38.01303045444121|-3.371305923100465
pucallpa|Pucallpa|PERU (PE)|-8.38328|-74.5323|LLP-1|Pucallpa|PCL|-8.3928622|-74.5826166
algeciras|Algeciras|SPAIN (ES)|NULL|NULL|LUZ-5|Algeciras|AGP|36.140759|-5.456233
sanlucar-de-barrameda|Sanlúcar de Barrameda|SPAIN (ES)|NULL|NULL|LUZ-9|Sanlúcar de Barrameda|XRY|36.772577|-6.352969
mijas|Mijas|SPAIN (ES)|NULL|NULL|Mijas|Mijas|AGP|36.61632301947828|-4.662319095223212
aviles|Avilés|SPAIN (ES)|NULL|NULL|OVD-2|Avilés|OVD|43.557952|-5.924665
pachuca-de-soto|Pachuca de Soto|MEXICO (MX)|NULL|NULL|PCH-1|Pachuca de Soto|MEX|20.1010608|-98.75913109999999
tula-de-allende|Tula de Allende|MEXICO (MX)|NULL|NULL|PCH-2|Tula de Allende|MEX|20.0535516|-99.33956360000002
popayan|Popayán|COLOMBIA (CO)|NULL|NULL|PPN-1|Popayan|CLO|2.4448143|-76.61473949999998
poza-rica-de-hidalgo|Poza Rica de Hidalgo|MEXICO (MX)|NULL|NULL|PZR-1|Poza Rica de Hidalgo|PAZ|20.5270592|-97.4629119
san-juan-del-rio|San Juan del Rio|MEXICO (MX)|NULL|NULL|QUE-1|San Juan Del Rio|QRO|20.37573669131021|-99.99259880057599
tequisquiapan|Tequisquiapan|MEXICO (MX)|NULL|NULL|QUE-4|Tequisquiapan|QRO|20.5187326|-99.88505859999998
reynosa|Reynosa|MEXICO (MX)|NULL|NULL|REX-3|Reynosa|REX|26.068502530912397|-98.29055786132814
cambrils|Cambrils|SPAIN (ES)|NULL|NULL|SAL30|Cambrils|REU|41.0666754|1.0603605999999672
san-miguel-de-tucuman|San Miguel de Tucumán|ARGENTINA (AR)|NULL|NULL|SMT-2|San Miguel de Tucumán|TUC|-26.822057829136092|-65.20365856085262
san-salvador-de-jujuy|San Salvador de Jujuy|ARGENTINA (AR)|NULL|NULL|SSJ-2|San Salvador de Jujuy|JUJ|-24.178875774761806|-65.3001442194517
valle-de-bravo|Valle de Bravo|MEXICO (MX)|NULL|NULL|TCA-2|Valle de Bravo|TLC|19.1950964|-100.13267250000001
golfito|Golfito|COSTA RICA (CR)|NULL|NULL|TMU-6|Golfito|GLF|8.637370630297879|-83.16650390625001
